word,length,fre,pmi,entropy
在一处,3,7.753874783537662e-05,4.352150190566876,2.0431918705451206
我给你,3,7.753874783537662e-05,4.157076436148996,2.0431918705451206
学生,2,7.753874783537662e-05,4.106575407575934,2.0431918705451206
很难,2,7.753874783537662e-05,3.9499111318605715,2.0431918705451206
之中,2,7.753874783537662e-05,3.8502538641583017,2.0431918705451206
你要是,3,7.753874783537662e-05,3.405898070952236,2.0431918705451206
桥上,2,7.753874783537662e-05,3.213090587343761,2.0431918705451206
的新闻,3,7.753874783537662e-05,3.168442287754547,2.0431918705451206
有办法,3,7.753874783537662e-05,3.0110105702409258,2.0431918705451206
闲着,2,0.00014646207924460028,3.2949032894241532,2.0336623436650356
晓得,2,0.00048246331986456564,4.848512752305312,2.032859456464939
问题,2,8.615416426152958e-05,7.368761930848941,2.0253262207700673
岁数,2,8.615416426152958e-05,5.938372249863827,2.0253262207700673
站住,2,8.615416426152958e-05,5.686114185611182,2.0253262207700673
仗着,2,8.615416426152958e-05,4.03724071417487,2.0253262207700673
一句话,3,8.615416426152958e-05,3.3514931704460853,2.0253262207700673
留下,2,9.476958068768254e-05,4.3174732324732075,2.019814992492946
金钱,2,9.476958068768254e-05,4.257235682463424,2.019814992492946
光明,2,9.476958068768254e-05,3.7913747965360036,2.019814992492946
快跑,2,9.476958068768254e-05,3.666681372065887,2.019814992492946
热气,2,9.476958068768254e-05,3.5710815373944493,2.019814992492946
第一,2,9.476958068768254e-05,3.0413382421422455,2.019814992492946
哥儿们,3,0.00013784666281844733,5.387195330574269,2.0140355237092673
顾不得,3,0.00013784666281844733,4.730729716648928,2.0140355237092673
洋车,2,0.00023261624350612986,4.2709075307474365,2.0095170138517413
妇女,2,0.00014646207924460028,5.921219170637577,2.0069548922107656
一种,2,0.00025846249278458874,3.0097438767240283,2.0026730158640147
一百,2,0.00012923124639229437,3.351493170446085,1.9867316488081914
容易,2,0.00029292415848920057,7.492105237085962,1.9857872699953913
衣裳,2,0.00017230832852305916,7.305248525126616,1.9850800347841981
确是,2,0.0001636929120969062,3.2841472271891274,1.9810967544026823
耳朵,2,0.0001033849971138355,8.180717262480515,1.9792045174343245
良心,2,0.0001033849971138355,5.066176837854895,1.9792045174343245
上哪儿,3,0.0001033849971138355,3.8061543093467236,1.9792045174343245
几句,2,0.00013784666281844733,4.53576960124998,1.9770061729088613
怀疑,2,8.615416426152958e-05,7.7419661767388845,1.9730014063936125
急忙,2,8.615416426152958e-05,5.570647469738509,1.9730014063936125
好歹,2,8.615416426152958e-05,5.091214455307792,1.9730014063936125
两块钱,3,8.615416426152958e-05,4.406366077562542,1.9730014063936125
